Geo_FIPS,Geo_NAME,Geo_QName,pop_18_in_poverty
19195,Worth County,"Worth County, Iowa",208
19197,Wright County,"Wright County, Iowa",561
20001,Allen County,"Allen County, Kansas",691
20003,Anderson County,"Anderson County, Kansas",411
20005,Atchison County,"Atchison County, Kansas",691
20007,Barber County,"Barber County, Kansas",253
20009,Barton County,"Barton County, Kansas",1288
20011,Bourbon County,"Bourbon County, Kansas",818
20013,Brown County,"Brown County, Kansas",445
20015,Butler County,"Butler County, Kansas",2174
20017,Chase County,"Chase County, Kansas",94
20019,Chautauqua County,"Chautauqua County, Kansas",197
20021,Cherokee County,"Cherokee County, Kansas",789
20023,Cheyenne County,"Cheyenne County, Kansas",45
20025,Clark County,"Clark County, Kansas",77
20027,Clay County,"Clay County, Kansas",188
20029,Cloud County,"Cloud County, Kansas",221
20031,Coffey County,"Coffey County, Kansas",299
20033,Comanche County,"Comanche County, Kansas",51
20035,Cowley County,"Cowley County, Kansas",1633
20037,Crawford County,"Crawford County, Kansas",1834
20039,Decatur County,"Decatur County, Kansas",117
20041,Dickinson County,"Dickinson County, Kansas",623
20043,Doniphan County,"Doniphan County, Kansas",279
20045,Douglas County,"Douglas County, Kansas",2657
20047,Edwards County,"Edwards County, Kansas",70
20049,Elk County,"Elk County, Kansas",116
20051,Ellis County,"Ellis County, Kansas",941
20053,Ellsworth County,"Ellsworth County, Kansas",138
20055,Finney County,"Finney County, Kansas",1732
20057,Ford County,"Ford County, Kansas",2197
20059,Franklin County,"Franklin County, Kansas",752
20061,Geary County,"Geary County, Kansas",2176
20063,Gove County,"Gove County, Kansas",51
20065,Graham County,"Graham County, Kansas",64
20067,Grant County,"Grant County, Kansas",296
20069,Gray County,"Gray County, Kansas",141
20071,Greeley County,"Greeley County, Kansas",41
20073,Greenwood County,"Greenwood County, Kansas",194
20075,Hamilton County,"Hamilton County, Kansas",118
20077,Harper County,"Harper County, Kansas",262
20079,Harvey County,"Harvey County, Kansas",887
20081,Haskell County,"Haskell County, Kansas",144
20083,Hodgeman County,"Hodgeman County, Kansas",73
20085,Jackson County,"Jackson County, Kansas",575
20087,Jefferson County,"Jefferson County, Kansas",462
20089,Jewell County,"Jewell County, Kansas",141
20091,Johnson County,"Johnson County, Kansas",8979
20093,Kearny County,"Kearny County, Kansas",306
20095,Kingman County,"Kingman County, Kansas",183
20097,Kiowa County,"Kiowa County, Kansas",39
20099,Labette County,"Labette County, Kansas",1224
